,역명,역간거리,일방통행여부
수인분당선,인하대,2.4,0
수인분당선,숭의,1.8,0
수인분당선,신포,1.5,0
수인분당선,인천,1.1,0
에버라인,기흥,0,0
에버라인,강남대,1,0
에버라인,지석,1.1,0
에버라인,어정,0.9,0
에버라인,동백,1.2,0
에버라인,초당,1.1,0
에버라인,삼가,2.6,0
에버라인,시청·용인대,1,0
에버라인,명지대,1,0
에버라인,김량장,0.8,0
에버라인,운동장·송담대,0.9,0
에버라인,고진,0.9,0
에버라인,보평,1.8,0
에버라인,둔전,1,0
에버라인,전대·에버랜드,2.6,0
5호선,방화,0,0
5호선,개화산,0.9,0
5호선,김포공항,1.2,0
5호선,송정,1.2,0
5호선,마곡나루,1.1,0
5호선,발산,1.2,0
5호선,우장산,1.1,0
5호선,화곡,1,0
5호선,까치산,1.2,0
5호선,신정,1.3,0
5호선,목동,0.8,0
5호선,오목교,0.9,0
5호선,양평,1.1,0
5호선,영등포구청,0.8,0
5호선,영등포시장,0.9,0
5호선,신길,1.1,0
5호선,여의도,1,0
5호선,여의나루,1,0
5호선,마포,1.8,0
5호선,공덕,0.8,0
5호선,애오개,1.1,0
5호선,충정로,0.9,0
5호선,서대문,0.7,0
5호선,종로3가,1.2,0
5호선,을지로4가,1,0
5호선,동대문역사문화공원,0.9,0
5호선,청구,0.9,0
5호선,신금호,0.9,0
5호선,행당,0.8,0
5호선,왕십리,0.9,0
5호선,마장,0.7,0
5호선,답십리,1,0
5호선,장한평,1.2,0
5호선,군자,1.5,0
5호선,아차산,1,0
5호선,광나루,1.5,0
5호선,천호,2,0
5호선,강동,0.8,0
5호선,길동,0.9,0
5호선,굽은다리,0.8,0
5호선,명일,0.7,0
5호선,고덕,1.2,0
5호선,상일동,1.1,0
5호선,강일,0.7,0
5호선,미사,1.7,0
5호선,하남풍산,2,0
5호선,하남시청,1.4,0
5호선,하남검단산,1.6,0
마천지선,강동,0,0
마천지선,둔촌동,1.2,0
마천지선,올림픽공원,1.4,0
마천지선,방이,0.9,0
마천지선,오금,0.9,0
마천지선,개롱,0.9,0
마천지선,거여,0.9,0
마천지선,마천,0.9,0
6호선,응암,0,1
6호선,역촌,1.1,1
6호선,불광,0.8,1
6호선,독바위,0.9,1
6호선,연신내,1.4,1
6호선,구산,0.9,1
6호선,응암,1.5,0
6호선,새절,0.9,0
6호선,증산,0.9,0
6호선,디지털미디어시티,1.1,0
6호선,월드컵경기장,0.8,0
6호선,마포구청,0.8,0
6호선,망원,1,0
6호선,합정,0.8,0
6호선,상수,0.8,0
6호선,광흥창,0.9,0
6호선,대흥,1,0
6호선,공덕,0.9,0
6호선,효창공원앞,0.9,0
6호선,삼각지,1.2,0
6호선,녹사평,1.1,0
6호선,이태원,0.8,0
6호선,한강진,1,0
6호선,버티고개,1,0
6호선,약수,0.7,0
6호선,청구,0.8,0
6호선,신당,0.7,0
6호선,동묘앞,0.6,0
6호선,창신,0.9,0
6호선,보문,0.8,0
6호선,안암,0.9,0
6호선,고려대,0.8,0
6호선,월곡,1.4,0
6호선,상월곡,0.8,0
6호선,돌곶이,0.8,0
6호선,석계,1,0
6호선,태릉입구,0.8,0
6호선,화랑대,0.9,0
6호선,봉화산,0.7,0
6호선,신내,1.3,0
의정부,발곡,0,0
의정부,회룡,0.8,0
의정부,범골,0.6,0
의정부,경전철의정부,0.9,0
의정부,의정부시청,0.9,0
의정부,흥선,0.6,0
의정부,의정부중앙,1.1,0
의정부,동오,0.7,0
의정부,새말,0.7,0
의정부,경기도북부청사,0.7,0
의정부,효자,0.6,0
의정부,곤제,0.8,0
의정부,어룡,0.9,0
의정부,송산,0.6,0
의정부,탑석,0.5,0
의정부,복합문화융합단지,0.7,0
경의선,가좌,0,0
경의선,신촌(지상),1.7,0
경의선,서울,1.9,0
경의중앙선,임진강,0,0
경의중앙선,문산,6,0
경의중앙선,파주,4.4,0
경의중앙선,월롱,2.2,0
경의중앙선,금촌,4.1,0
경의중앙선,금릉,2.1,0
경의중앙선,운정,3.1,0
경의중앙선,야당,2.1,0
경의중앙선,탄현,1.5,0
경의중앙선,일산,1.7,0
경의중앙선,풍산,1.9,0
경의중앙선,백마,1.7,0
경의중앙선,곡산,1.6,0
경의중앙선,대곡,1.7,0
경의중앙선,능곡,1.8,0
경의중앙선,행신,1.5,0
경의중앙선,강매,0.9,0
경의중앙선,화전,2.5,0
경의중앙선,수색,3.4,0
경의중앙선,디지털미디어시티,0.6,0
경의중앙선,가좌,1.7,0
경의중앙선,홍대입구,1.7,0
경의중앙선,서강대,0.9,0
경의중앙선,공덕,1.9,0
경의중앙선,효창공원앞,1,0
경의중앙선,용산,1,0
경의중앙선,이촌,1.9,0
경의중앙선,서빙고,1.7,0
경의중앙선,한남,1.9,0
경의중앙선,옥수,1.6,0
경의중앙선,응봉,1.8,0
경의중앙선,왕십리,1.4,0
경의중앙선,청량리,2.4,0
경의중앙선,회기,1.4,0
경의중앙선,중랑,1.8,0
경의중앙선,상봉,0.8,0
경의중앙선,망우,0.6,0
경의중앙선,양원,1.7,0
경의중앙선,구리,3.2,0
경의중앙선,도농,1.7,0
경의중앙선,양정,3.7,0
경의중앙선,덕소,2.3,0
경의중앙선,도심,1.5,0
경의중앙선,팔당,4.2,0
경의중앙선,운길산,6.4,0
경의중앙선,양수,1.9,0
경의중앙선,신원,4.7,0
경의중앙선,국수,2.9,0
경의중앙선,아신,4.1,0
경의중앙선,오빈,2.8,0
경의중앙선,양평,2.2,0
경의중앙선,원덕,5.8,0
경의중앙선,용문,4.8,0
경의중앙선,지평,3.8,0
1호선,소요산,0,0
1호선,동두천,2.5,0
1호선,보산,1.6,0
1호선,동두천중앙,1.4,0
1호선,지행,1,0
1호선,덕정,5.6,0
1호선,덕계,2.9,0
1호선,양주,5.3,0
1호선,녹양,1.6,0
1호선,가능,1.3,0
1호선,의정부,1.2,0
1호선,회룡,1.6,0
1호선,망월사,1.4,0
1호선,도봉산,2.3,0
1호선,도봉산,1.2,0
1호선,방학,1.3,0
1호선,창동,1.7,0
1호선,녹천,1,0
1호선,월계,1.4,0
1호선,광운대,1.1,0
1호선,석계,1.1,0
1호선,신이문,1.4,0
1호선,외대앞,0.8,0
1호선,회기,0.8,0
1호선,청량리,1.4,0
1호선,제기동,1,0
1호선,신설동,0.9,0
1호선,동묘앞,0.7,0
1호선,동대문역사문화공원,0.6,0
1호선,종로5가,0.8,0
1호선,종로3가,0.9,0
1호선,종각,0.8,0
1호선,시청,1,0
1호선,서울대,1.1,0
1호선,남영,1.7,0
1호선,용산,1.5,0
1호선,노량진,2.6,0
1호선,대방,1.5,0
1호선,신길,0.8,0
1호선,영등포,1,0
1호선,신도림,1.5,0
1호선,구로,1.1,0
1호선,구일,1.4,0
1호선,개봉,1,0
1호선,오류동,1.3,0
1호선,온수,1.9,0
1호선,역곡,1.3,0
1호선,소사,1.5,0
1호선,부천,1.1,0
1호선,중동,1.7,0
1호선,송내,1,0
1호선,부개,1.2,0
1호선,부평,1.5,0
1호선,백운,1.7,0
1호선,동암,1.5,0
1호선,간석,1.2,0
1호선,주안,1.2,0
1호선,도화,1,0
1호선,제물포,1,0
1호선,도원,1.4,0
1호선,동인천,1.2,0
1호선,인천,1.9,0
1호선,구로,0,0
1호선,가산디지털단지,2.4,0
1호선,독산,2,0
1호선,금천구청,1.2,0
1호선,석수,2.3,0
1호선,관악,1.9,0
1호선,안양,2.4,0
1호선,명학,2.2,0
1호선,금정,1.4,0
1호선,군포,2.2,0
1호선,당정,1.6,0
1호선,의왕,2.6,0
1호선,성균관대,2.9,0
1호선,화서,2.6,0
1호선,수원,2.1,0
1호선,세류,2.9,0
1호선,병점,4.3,0
1호선,세마,2.4,0
1호선,오산대,2.7,0
1호선,오산대,2.7,0
1호선,진위,4,0
1호선,송탄,3.9,0
1호선,서정리,2.2,0
1호선,평택지제,4.8,0
1호선,평택,3.7,0
1호선,성환,9.4,0
1호선,직산,5.4,0
1호선,두정,3.8,0
1호선,천안,3,0
1호선,봉명,1.5,0
1호선,쌍용,1.5,0
1호선,아산,1.5,0
1호선,탕정,1.8,0
1호선,배방,3.1,0
1호선,온양온천,4.9,0
1호선,신창,5.1,0
